Layout.Nav.Register,用户注册
Layout.Nav.Logon,登录
Layout.Nav.Activity,Activity
Layout.Nav.Leaderboard,Leaderboard
Layout.Nav.Home,Home
Layout.Nav.Admin,管理员
Layout.CreateButton,创建活动
Layout.PoweredBy,Powered by 
Topic.Votes,Votes
Topic.Comments,Answers
Topic.StartedBy,Started {0} by {1}
Topic.InCategory, in 
Topic.LatestBy,Latest By
Topic.Views,Views
Post.VoteUp,Like
Post.VotedUp,Liked
Post.VoteDown,Dislike
Post.VotedDown,Disliked
Post.IsSolution,Is Solution
Post.PostedThis,posted this
Post.Posts,Posts
Post.Points,Points
Post.LastEdited,Last edited
Post.Report,Report
Post.Edit,编辑
Post.Delete,删除
Post.Move,移动
Post.Reply,Reply
Post.ReplyingTo,Replying To:
LogOn.LogOn,登录
LogOn.LogOff,登出
Post.PleaseWait,正在提交，请稍等...
Topic.DiscussionTaggedWith,Discussions Tagged With: 
Topic.TitleFallBack,Discussion Topic
Topic.Subscribe,关注
Topic.UnSubscribe,取消关注
Topic.IsLocked,内容被锁定
Topic.CreateDiscussion,Create Discussion
Topic.TagThisTopic,Tag this topic
Topic.Choose,Choose Existing Topic
Tags.PopularTags,Popular Tags
Stats.FooterMainStatText,Our {0} members have posted {1} times in {2} discussions
Stats.LatestMembers,Latest Members:
PM.Title,Message: 
PM.From,From: 
PM.Sent,Sent:
PM.BackToInbox,Back To Inbox
PM.Reply,Reply
PM.SentPrivateMessages,Sent Private Messages
PM.To,To
PM.Subject,Subject
PM.Date,Date
PM.Read,Read
PM.Delete,删除
PM.NoMessages,You currently don't have any private messages
PM.Create,Create
PM.ReceivedPrivateMessages,Received Private Messages
PM.CreatePrivateMessage,Create Private Message
PM.Send,Send
PM.OriginalMessage,Original Message
Buttons.Send,发送
Report.ReportPostBy,Report Post By: 
Buttons.Edit,编辑
Points.ThisWeeksHighEarners,This Weeks High Earners
SideBox.MyTools,操作菜单
PM.PrivateMessages,私信
Members.SearchMembers,搜索会员
Buttons.Search,搜索
Members.Users,Users
Members.Points,Points
Members.DateJoined,Date Joined
Report.Report,Report 
Members.Register,Register
Members.AlreadyRegistered,You are already registered? Why would you want to do it again?
Members.LogOnMessage,Please enter your user name and password. Or {0} if you don't have an account
Buttons.LogOn,Log On
Members.ProfileTitle, Profile
Members.Profile.Joined,Joined:
Members.Profile.Posts,Posts:
Members.Profile.Points,Points:
Buttons.Report,Report
Members.Profile.Age,年龄:
Members.Profile.Location,Location:
Members.Profile.Website,Website
Members.Profile.Twitter,Twitter
Members.Profile.Facebook,Facebook:
Members.Profile.DiscussionActivity,Discussion Activity
Ajax.PleaseWait,请稍等...
Members.Profile.Badges,Badges
Members.EditProfile,Edit Profile
Buttons.Save,Save
Buttons.Continue,Continue
Members.EditMember,Edit Member
Leaderboard.ThisWeeksStars,This Weeks Stars
Leaderboard.ThisYearsStars,This Years Rock Stars
Leaderboard.LeaderboardTitle,Global Leaderboard
Home.LatestDiscussions,Latest Discussions
Home.Rss,Rss
Activity.ActivityTitle,Activity
Notification.Subscribe,Follow
Notification.UnSubscribe,UnFollow
Category.NoDiscussions,Currently no discussions in this category
Category.CategoriesSideHeading,Categories
PM.RecipientUsername,Recipient Username
PM.MessageSubject,Subject
Post.Label.TopicName,Topic Name
Post.Label.IsStickyTopic,Is Sticky Topic
Post.Label.LockTopic,Lock Topic
Post.label.TopicCategory,Topic Category
Members.Label.Username,账号
Members.Label.EmailAddress,电子邮件
Members.Label.Password,密码
Members.Label.ConfirmPassword,确认密码
Members.Label.UserIsApproved,User is Approved
Members.Label.Comment,Comment
Members.Label.Roles,Roles
Members.Label.Signature,Signature
Members.Label.Age,Age
Members.Label.Location,Location
Members.Label.Website,Website
Members.Label.Twitter,Twitter Url
Members.Label.Facebook,Facebook Page
Members.Label.RememberMe,记住登录
Members.Label.Users,Users
Members.Label.DateJoined,Date Joined
Errors.NoAccess,No Access
Errors.GenericMessage,Sorry an error occured
Errors.NoPermission,You do not have permission to perform this action
Topic.Notification.NewTopics,A new topic or tag has been created in the {0} category
Topic.Notification.Subject,New Discussion On 
PM.SendingToQuickly,You are trying to send messages to quickly
PM.SentItemsOverCapcity,Your sent items is over capacity - delete messages to be able to send
PM.ReceivedItemsOverCapcity,{0} has exceeded their inbox size - unable to send message
PM.MessageSent,Message Sent
PM.UnableFindMember,Unable to find that member
PM.TalkToSelf,Talking to yourself is a bit weird. isn't it?
Post.Updated,Post Updated
Topic.Deleted,Topic Deleted
Post.Deleted,Post Deleted
Post.Notification.NewPosts,A new post has been created in the {0} topic
Post.Notification.Subject,New Post On 
Report.ReportSent,Report Sent
Members.NowRegistered,You are now registered
Members.NowRegisteredNeedApproval,You are now registered. But the forum admin must authorise your account
Members.NowLoggedIn,You are now logged in
Members.Errors.PasswordIncorrect,The user or password provided is incorrect.
Members.Errors.PasswordAttemptsExceeded,The maximum number of password attempts has been exceeded.
Members.Errors.UserLockedOut,User is locked out.
Members.Errors.UserNotApproved,User has not been approved.
Members.Errors.LogonGeneric,Unable to login.
Members.NowLoggedOut,You are now logged out
Member.ProfileUpdated,Profile Updated
Language.Changed,Language Changed
Rss.LatestActivity.Title,Latest Forum Discussions
Rss.LatestActivity.Description,Recent discussions
Errors.NothingToDisplay,Nothing To Display
Rss.Category.Title,{0} Discussions
Rss.Category.Description,Latest discussions happening in the {0} category
Report.Reporter,Reporter
Report.MemberReported,Member Reported
Report.Reason,Reason
Report.MemberReport,Member Report
Report.Admin,Admin
Report.PostReported,Post Reported In
Report.PostReport,Post Report
Badges.UnableToAward,Unable to award badges as badge collection is null for user {0}
Badge.UnknownBadge,Unknown badge type {0}
Badge.BadegEnumNoClass,The badge enum type {0} has no corresponding class specified.
Members.Errors.DuplicateUserName,User name already exists. Please enter a different user name.
Members.Errors.DuplicateEmail,A user name for that e-mail address already exists. Please enter a different e-mail address.
Members.Errors.InvalidPassword,The password provided is invalid. Please enter a valid password value.
Members.Errors.InvalidEmail,The e-mail address provided is invalid. Please check the value and try again.
Members.Errors.InvalidAnswer,The password retrieval answer provided is invalid. Please check the value and try again.
Members.Errors.InvalidQuestion,The password retrieval question provided is invalid. Please check the value and try again.
Members.Errors.InvalidUserName,The user name provided is invalid. Please check the value and try again.
Members.Errors.ProviderError,The authentication provider returned an error. Please verify your entry and try again. If the problem persists please contact your system administrator.
Members.Errors.UserRejected,The user creation request has been canceled. Please verify your entry and try again. If the problem persists please contact your system administrator.
Members.Errors.Unknown,An unknown error occurred. Please verify your entry and try again. If the problem persists please contact your system administrator.
Members.NewMemberRegistered,New member registered on {0} ({1})
Members.Admin,Admin
Members.NewMemberSubject,New Member Registered
Members.CantUnlock,User does not exist - cannot unlock.
Members.ForgotPassword.Email,You have requested that your password is reset on {0}. Your new password is below
Members.ForgotPassword.Subject,密码重置
Members.ForgotPassword.SuccessMessage,新的密码已通过邮件的方式发送给您
Members.ForgotPassword.ErrorMessage,Error resetting password
Members.ChangePassword.Success,密码已被修改
Members.ChangePassword.Error,当前密码不正确或新密码无效
Buttons.ChangePassword,修改密码
Members.ChangePassword.Title,修改密码
Members.ChangePassword.Text,New passwords are required to be a minimum of {0} characters in length.
Members.ChangePassword.Link,Click here if you want to {0}
Members.ForgotPassword.Title,忘记密码
Buttons.ResetPassword,重置密码
Members.ForgotPassword.Link,忘记密码了
Members.Label.CurrentPassword,当前密码
Members.Label.NewPassword,新的密码
Members.Label.ConfirmNewPassword,确认新密码
Members.Label.EmailAddressBlank,输入你的电邮地址
Activity.Badge,badge 
Activity.UserAwardedBadge,has been awarded the
Activity.UserJoined,is a new member in the forum
Activity.ProfileUpdated,has an updated profile
Topic.Label.SubscribeToTopic,Get notified of replies?
Badges.PageTitle,Badges
Layout.Nav.Badges,Badges
Topic.Label.TopicTitle,标题
Poll.Button.Create,Add A Poll To This Topic
Poll.Placeholder.TypeAnswerHere,Type A Poll Answer Here
Topic.OptionsHeading,Topic Options
Poll.Button.Remove,Remove Poll From Topic
Poll.Button.Vote,Submit Vote
Error.WrongAnswerRegistration,There was an error with your answer. Please try again
Members.LoginOrText,Or
Facebook.Error.EnabledButNotAddedKeys,You have enabled Facebook login but not added your AppId or Secret key to the forum.config
Microsoft.Error.EnabledButNotAddedKeys,You have enabled Microsoft login but not added your AppId or Secret key to the forum.config
Members.Profile.IsSocialAccount,Social Account
Date.JustNow,刚才
Date.OneMinuteAgo,1分钟前
Date.MinutesAgo,{0}分钟前
Date.OneHourAgo,1小时前
Date.HoursAgo,{0}小时前
Date.Yesterday,昨天
Date.DaysAgo,{0}天前
Date.WeeksAgo,{0}星期前
Side.Search,搜索
Search.NoResults,未找到相关记录
Topic.CommentsDetails,Comments
Members.DeleteAllPosts,删除全部回复
Buttons.CreatePost,Add Post
Topic.Label.Category,选择类别
Editor.NeedHelp,Need formatting help?
Members.BanUser,Ban User
Members.UnBanUser,Unban User
Errors.NoPermissionPolls,Topic Created. But you do not have permission to create polls
Topic.ShowMorePosts,显示更多回复
